sku,location,opening_stock,daily_demand,safety_stock,transfer_cost_per_unit,transfer_lead_days
SKU-DEMO-0062,TX,0,10,0,5,1
SKU-DEMO-0062,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0063,TX,0,10,0,5,1
SKU-DEMO-0063,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0064,TX,0,10,0,5,1
SKU-DEMO-0064,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0065,TX,0,10,0,5,1
SKU-DEMO-0065,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0066,TX,0,10,0,5,1
SKU-DEMO-0066,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0067,TX,0,10,0,5,1
SKU-DEMO-0067,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0068,TX,0,10,0,5,1
SKU-DEMO-0068,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0069,TX,0,10,0,5,1
SKU-DEMO-0069,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0070,TX,0,10,0,5,1
SKU-DEMO-0070,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0071,TX,0,10,0,5,1
SKU-DEMO-0071,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0072,TX,0,10,0,5,1
SKU-DEMO-0072,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0073,TX,0,10,0,5,1
SKU-DEMO-0073,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0074,TX,0,10,0,5,1
SKU-DEMO-0074,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0075,TX,0,10,0,5,1
SKU-DEMO-0075,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0076,TX,0,10,0,5,1
SKU-DEMO-0076,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0077,TX,0,10,0,5,1
SKU-DEMO-0077,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0078,TX,0,10,0,5,1
SKU-DEMO-0078,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0079,TX,0,10,0,5,1
SKU-DEMO-0079,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0080,TX,0,10,0,5,1
SKU-DEMO-0080,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0081,TX,0,10,0,5,1
SKU-DEMO-0081,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0082,TX,0,10,0,5,1
SKU-DEMO-0082,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0083,TX,0,10,0,5,1
SKU-DEMO-0083,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0084,TX,0,10,0,5,1
SKU-DEMO-0084,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0085,TX,0,10,0,5,1
SKU-DEMO-0085,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0086,TX,0,10,0,5,1
SKU-DEMO-0086,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0087,TX,0,10,0,5,1
SKU-DEMO-0087,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0088,TX,0,10,0,5,1
SKU-DEMO-0088,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0089,TX,0,10,0,5,1
SKU-DEMO-0089,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0090,TX,0,10,0,5,1
SKU-DEMO-0090,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0091,TX,0,10,0,5,1
SKU-DEMO-0091,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0092,TX,0,10,0,5,1
SKU-DEMO-0092,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0093,TX,0,10,0,5,1
SKU-DEMO-0093,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0094,TX,0,10,0,5,1
SKU-DEMO-0094,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0095,TX,0,10,0,5,1
SKU-DEMO-0095,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0096,TX,0,10,0,5,1
SKU-DEMO-0096,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0097,TX,0,10,0,5,1
SKU-DEMO-0097,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0098,TX,0,10,0,5,1
SKU-DEMO-0098,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0099,TX,0,10,0,5,1
SKU-DEMO-0099,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0100,TX,0,10,0,5,1
SKU-DEMO-0100,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0101,TX,0,10,0,5,1
SKU-DEMO-0101,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0102,TX,0,10,0,5,1
SKU-DEMO-0102,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0103,TX,0,10,0,5,1
SKU-DEMO-0103,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0104,TX,0,10,0,5,1
SKU-DEMO-0104,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0105,TX,0,10,0,5,1
SKU-DEMO-0105,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0106,TX,0,10,0,5,1
SKU-DEMO-0106,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0107,TX,0,10,0,5,1
SKU-DEMO-0107,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0108,TX,0,10,0,5,1
SKU-DEMO-0108,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0109,TX,0,10,0,5,1
SKU-DEMO-0109,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0110,TX,0,10,0,5,1
SKU-DEMO-0110,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0111,TX,0,10,0,5,1
SKU-DEMO-0111,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0112,TX,0,10,0,5,1
SKU-DEMO-0112,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0113,TX,0,10,0,5,1
SKU-DEMO-0113,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0114,TX,0,10,0,5,1
SKU-DEMO-0114,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0115,TX,0,10,0,5,1
SKU-DEMO-0115,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0116,TX,0,10,0,5,1
SKU-DEMO-0116,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0117,TX,0,10,0,5,1
SKU-DEMO-0117,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0118,TX,0,10,0,5,1
SKU-DEMO-0118,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0119,TX,0,10,0,5,1
SKU-DEMO-0119,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0120,TX,0,10,0,5,1
SKU-DEMO-0120,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0121,TX,0,10,0,5,1
SKU-DEMO-0121,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0122,TX,0,10,0,5,1
SKU-DEMO-0122,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0123,TX,0,10,0,5,1
SKU-DEMO-0123,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0124,TX,0,10,0,5,1
SKU-DEMO-0124,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0125,TX,0,10,0,5,1
SKU-DEMO-0125,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0126,TX,0,10,0,5,1
SKU-DEMO-0126,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0127,TX,0,10,0,5,1
SKU-DEMO-0127,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0128,TX,0,10,0,5,1
SKU-DEMO-0128,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0129,TX,0,10,0,5,1
SKU-DEMO-0129,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0130,TX,0,10,0,5,1
SKU-DEMO-0130,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0131,TX,0,10,0,5,1
SKU-DEMO-0131,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0132,TX,0,10,0,5,1
SKU-DEMO-0132,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0133,TX,0,10,0,5,1
SKU-DEMO-0133,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0134,TX,0,10,0,5,1
SKU-DEMO-0134,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0135,TX,0,10,0,5,1
SKU-DEMO-0135,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0136,TX,0,10,0,5,1
SKU-DEMO-0136,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0137,TX,0,10,0,5,1
SKU-DEMO-0137,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0138,TX,0,10,0,5,1
SKU-DEMO-0138,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0139,TX,0,10,0,5,1
SKU-DEMO-0139,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0140,TX,0,10,0,5,1
SKU-DEMO-0140,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0141,TX,0,10,0,5,1
SKU-DEMO-0141,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0142,TX,0,10,0,5,1
SKU-DEMO-0142,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0143,TX,0,10,0,5,1
SKU-DEMO-0143,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0144,TX,0,10,0,5,1
SKU-DEMO-0144,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0145,TX,0,10,0,5,1
SKU-DEMO-0145,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0146,TX,0,10,0,5,1
SKU-DEMO-0146,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0147,TX,0,10,0,5,1
SKU-DEMO-0147,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0148,TX,0,10,0,5,1
SKU-DEMO-0148,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0149,TX,0,10,0,5,1
SKU-DEMO-0149,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0150,TX,0,10,0,5,1
SKU-DEMO-0150,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0151,TX,0,10,0,5,1
SKU-DEMO-0151,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0152,TX,0,10,0,5,1
SKU-DEMO-0152,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0153,TX,0,10,0,5,1
SKU-DEMO-0153,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0154,TX,0,10,0,5,1
SKU-DEMO-0154,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0155,TX,0,10,0,5,1
SKU-DEMO-0155,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0156,TX,0,10,0,5,1
SKU-DEMO-0156,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0157,TX,0,10,0,5,1
SKU-DEMO-0157,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0158,TX,0,10,0,5,1
SKU-DEMO-0158,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0159,TX,0,10,0,5,1
SKU-DEMO-0159,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0160,TX,0,10,0,5,1
SKU-DEMO-0160,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0161,TX,0,10,0,5,1
SKU-DEMO-0161,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0162,TX,0,10,0,5,1
SKU-DEMO-0162,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0163,TX,0,10,0,5,1
SKU-DEMO-0163,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0164,TX,0,10,0,5,1
SKU-DEMO-0164,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0165,TX,0,10,0,5,1
SKU-DEMO-0165,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0166,TX,0,10,0,5,1
SKU-DEMO-0166,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0167,TX,0,10,0,5,1
SKU-DEMO-0167,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0168,TX,0,10,0,5,1
SKU-DEMO-0168,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0169,TX,0,10,0,5,1
SKU-DEMO-0169,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0170,TX,0,10,0,5,1
SKU-DEMO-0170,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0171,TX,0,10,0,5,1
SKU-DEMO-0171,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0172,TX,0,10,0,5,1
SKU-DEMO-0172,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0173,TX,0,10,0,5,1
SKU-DEMO-0173,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0174,TX,0,10,0,5,1
SKU-DEMO-0174,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0175,TX,0,10,0,5,1
SKU-DEMO-0175,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0176,TX,0,10,0,5,1
SKU-DEMO-0176,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0177,TX,0,10,0,5,1
SKU-DEMO-0177,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0178,TX,0,10,0,5,1
SKU-DEMO-0178,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0179,TX,0,10,0,5,1
SKU-DEMO-0179,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0180,TX,0,10,0,5,1
SKU-DEMO-0180,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0181,TX,0,10,0,5,1
SKU-DEMO-0181,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0182,TX,0,10,0,5,1
SKU-DEMO-0182,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0183,TX,0,10,0,5,1
SKU-DEMO-0183,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0184,TX,0,10,0,5,1
SKU-DEMO-0184,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0185,TX,0,10,0,5,1
SKU-DEMO-0185,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0186,TX,0,10,0,5,1
SKU-DEMO-0186,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0187,TX,0,10,0,5,1
SKU-DEMO-0187,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0188,TX,0,10,0,5,1
SKU-DEMO-0188,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0189,TX,0,10,0,5,1
SKU-DEMO-0189,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0190,TX,0,10,0,5,1
SKU-DEMO-0190,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0191,TX,0,10,0,5,1
SKU-DEMO-0191,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0192,TX,0,10,0,5,1
SKU-DEMO-0192,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0193,TX,0,10,0,5,1
SKU-DEMO-0193,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0194,TX,0,10,0,5,1
SKU-DEMO-0194,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0195,TX,0,10,0,5,1
SKU-DEMO-0195,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0196,TX,0,10,0,5,1
SKU-DEMO-0196,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0197,TX,0,10,0,5,1
SKU-DEMO-0197,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0198,TX,0,10,0,5,1
SKU-DEMO-0198,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0199,TX,0,10,0,5,1
SKU-DEMO-0199,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0200,TX,0,10,0,5,1
SKU-DEMO-0200,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0201,TX,0,10,0,5,1
SKU-DEMO-0201,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0202,TX,0,10,0,5,1
SKU-DEMO-0202,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0203,TX,0,10,0,5,1
SKU-DEMO-0203,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0204,TX,0,10,0,5,1
SKU-DEMO-0204,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0205,TX,0,10,0,5,1
SKU-DEMO-0205,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0206,TX,0,10,0,5,1
SKU-DEMO-0206,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0207,TX,0,10,0,5,1
SKU-DEMO-0207,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0208,TX,0,10,0,5,1
SKU-DEMO-0208,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0209,TX,0,10,0,5,1
SKU-DEMO-0209,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0210,TX,0,10,0,5,1
SKU-DEMO-0210,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0211,TX,0,10,0,5,1
SKU-DEMO-0211,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0212,TX,0,10,0,5,1
SKU-DEMO-0212,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0213,TX,0,10,0,5,1
SKU-DEMO-0213,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0214,TX,0,10,0,5,1
SKU-DEMO-0214,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0215,TX,0,10,0,5,1
SKU-DEMO-0215,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0216,TX,0,10,0,5,1
SKU-DEMO-0216,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0217,TX,0,10,0,5,1
SKU-DEMO-0217,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0218,TX,0,10,0,5,1
SKU-DEMO-0218,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0219,TX,0,10,0,5,1
SKU-DEMO-0219,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0220,TX,0,10,0,5,1
SKU-DEMO-0220,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0221,TX,0,10,0,5,1
SKU-DEMO-0221,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0222,TX,0,10,0,5,1
SKU-DEMO-0222,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0223,TX,0,10,0,5,1
SKU-DEMO-0223,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0224,TX,0,10,0,5,1
SKU-DEMO-0224,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0225,TX,0,10,0,5,1
SKU-DEMO-0225,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0226,TX,0,10,0,5,1
SKU-DEMO-0226,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0227,TX,0,10,0,5,1
SKU-DEMO-0227,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0228,TX,0,10,0,5,1
SKU-DEMO-0228,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0229,TX,0,10,0,5,1
SKU-DEMO-0229,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0230,TX,0,10,0,5,1
SKU-DEMO-0230,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0231,TX,0,10,0,5,1
SKU-DEMO-0231,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0232,TX,0,10,0,5,1
SKU-DEMO-0232,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0233,TX,0,10,0,5,1
SKU-DEMO-0233,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0234,TX,0,10,0,5,1
SKU-DEMO-0234,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0235,TX,0,10,0,5,1
SKU-DEMO-0235,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0236,TX,0,10,0,5,1
SKU-DEMO-0236,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0237,TX,0,10,0,5,1
SKU-DEMO-0237,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0238,TX,0,10,0,5,1
SKU-DEMO-0238,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0239,TX,0,10,0,5,1
SKU-DEMO-0239,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0240,TX,0,10,0,5,1
