shipment_id,sku,destination,quantity,promised_day,milestone_delay_days,expedite_days_saved,expedite_cost
SHIP-DEMO-0093,SKU-DEMO-0093,TX,60,0,4,3,300
SHIP-DEMO-0094,SKU-DEMO-0094,TX,60,0,4,3,300
SHIP-DEMO-0095,SKU-DEMO-0095,TX,60,0,4,3,300
SHIP-DEMO-0096,SKU-DEMO-0096,TX,60,0,4,3,300
SHIP-DEMO-0097,SKU-DEMO-0097,TX,60,0,4,3,300
SHIP-DEMO-0098,SKU-DEMO-0098,TX,60,0,4,3,300
SHIP-DEMO-0099,SKU-DEMO-0099,TX,60,0,4,3,300
SHIP-DEMO-0100,SKU-DEMO-0100,TX,60,0,4,3,300
SHIP-DEMO-0101,SKU-DEMO-0101,TX,60,0,4,3,300
SHIP-DEMO-0102,SKU-DEMO-0102,TX,60,0,4,3,300
SHIP-DEMO-0103,SKU-DEMO-0103,TX,60,0,4,3,300
SHIP-DEMO-0104,SKU-DEMO-0104,TX,60,0,4,3,300
SHIP-DEMO-0105,SKU-DEMO-0105,TX,60,0,4,3,300
SHIP-DEMO-0106,SKU-DEMO-0106,TX,60,0,4,3,300
SHIP-DEMO-0107,SKU-DEMO-0107,TX,60,0,4,3,300
SHIP-DEMO-0108,SKU-DEMO-0108,TX,60,0,4,3,300
SHIP-DEMO-0109,SKU-DEMO-0109,TX,60,0,4,3,300
SHIP-DEMO-0110,SKU-DEMO-0110,TX,60,0,4,3,300
SHIP-DEMO-0111,SKU-DEMO-0111,TX,60,0,4,3,300
SHIP-DEMO-0112,SKU-DEMO-0112,TX,60,0,4,3,300
SHIP-DEMO-0113,SKU-DEMO-0113,TX,60,0,4,3,300
SHIP-DEMO-0114,SKU-DEMO-0114,TX,60,0,4,3,300
SHIP-DEMO-0115,SKU-DEMO-0115,TX,60,0,4,3,300
SHIP-DEMO-0116,SKU-DEMO-0116,TX,60,0,4,3,300
SHIP-DEMO-0117,SKU-DEMO-0117,TX,60,0,4,3,300
SHIP-DEMO-0118,SKU-DEMO-0118,TX,60,0,4,3,300
SHIP-DEMO-0119,SKU-DEMO-0119,TX,60,0,4,3,300
SHIP-DEMO-0120,SKU-DEMO-0120,TX,60,0,4,3,300
SHIP-DEMO-0121,SKU-DEMO-0121,TX,60,0,4,3,300
SHIP-DEMO-0122,SKU-DEMO-0122,TX,60,0,4,3,300
SHIP-DEMO-0123,SKU-DEMO-0123,TX,60,0,4,3,300
SHIP-DEMO-0124,SKU-DEMO-0124,TX,60,0,4,3,300
SHIP-DEMO-0125,SKU-DEMO-0125,TX,60,0,4,3,300
SHIP-DEMO-0126,SKU-DEMO-0126,TX,60,0,4,3,300
SHIP-DEMO-0127,SKU-DEMO-0127,TX,60,0,4,3,300
SHIP-DEMO-0128,SKU-DEMO-0128,TX,60,0,4,3,300
SHIP-DEMO-0129,SKU-DEMO-0129,TX,60,0,4,3,300
SHIP-DEMO-0130,SKU-DEMO-0130,TX,60,0,4,3,300
SHIP-DEMO-0131,SKU-DEMO-0131,TX,60,0,4,3,300
SHIP-DEMO-0132,SKU-DEMO-0132,TX,60,0,4,3,300
SHIP-DEMO-0133,SKU-DEMO-0133,TX,60,0,4,3,300
SHIP-DEMO-0134,SKU-DEMO-0134,TX,60,0,4,3,300
SHIP-DEMO-0135,SKU-DEMO-0135,TX,60,0,4,3,300
SHIP-DEMO-0136,SKU-DEMO-0136,TX,60,0,4,3,300
SHIP-DEMO-0137,SKU-DEMO-0137,TX,60,0,4,3,300
SHIP-DEMO-0138,SKU-DEMO-0138,TX,60,0,4,3,300
SHIP-DEMO-0139,SKU-DEMO-0139,TX,60,0,4,3,300
SHIP-DEMO-0140,SKU-DEMO-0140,TX,60,0,4,3,300
SHIP-DEMO-0141,SKU-DEMO-0141,TX,60,0,4,3,300
SHIP-DEMO-0142,SKU-DEMO-0142,TX,60,0,4,3,300
SHIP-DEMO-0143,SKU-DEMO-0143,TX,60,0,4,3,300
SHIP-DEMO-0144,SKU-DEMO-0144,TX,60,0,4,3,300
SHIP-DEMO-0145,SKU-DEMO-0145,TX,60,0,4,3,300
SHIP-DEMO-0146,SKU-DEMO-0146,TX,60,0,4,3,300
SHIP-DEMO-0147,SKU-DEMO-0147,TX,60,0,4,3,300
SHIP-DEMO-0148,SKU-DEMO-0148,TX,60,0,4,3,300
SHIP-DEMO-0149,SKU-DEMO-0149,TX,60,0,4,3,300
SHIP-DEMO-0150,SKU-DEMO-0150,TX,60,0,4,3,300
SHIP-DEMO-0151,SKU-DEMO-0151,TX,60,0,4,3,300
SHIP-DEMO-0152,SKU-DEMO-0152,TX,60,0,4,3,300
SHIP-DEMO-0153,SKU-DEMO-0153,TX,60,0,4,3,300
SHIP-DEMO-0154,SKU-DEMO-0154,TX,60,0,4,3,300
SHIP-DEMO-0155,SKU-DEMO-0155,TX,60,0,4,3,300
SHIP-DEMO-0156,SKU-DEMO-0156,TX,60,0,4,3,300
SHIP-DEMO-0157,SKU-DEMO-0157,TX,60,0,4,3,300
SHIP-DEMO-0158,SKU-DEMO-0158,TX,60,0,4,3,300
SHIP-DEMO-0159,SKU-DEMO-0159,TX,60,0,4,3,300
SHIP-DEMO-0160,SKU-DEMO-0160,TX,60,0,4,3,300
SHIP-DEMO-0161,SKU-DEMO-0161,TX,60,0,4,3,300
SHIP-DEMO-0162,SKU-DEMO-0162,TX,60,0,4,3,300
SHIP-DEMO-0163,SKU-DEMO-0163,TX,60,0,4,3,300
SHIP-DEMO-0164,SKU-DEMO-0164,TX,60,0,4,3,300
SHIP-DEMO-0165,SKU-DEMO-0165,TX,60,0,4,3,300
SHIP-DEMO-0166,SKU-DEMO-0166,TX,60,0,4,3,300
SHIP-DEMO-0167,SKU-DEMO-0167,TX,60,0,4,3,300
SHIP-DEMO-0168,SKU-DEMO-0168,TX,60,0,4,3,300
SHIP-DEMO-0169,SKU-DEMO-0169,TX,60,0,4,3,300
SHIP-DEMO-0170,SKU-DEMO-0170,TX,60,0,4,3,300
SHIP-DEMO-0171,SKU-DEMO-0171,TX,60,0,4,3,300
SHIP-DEMO-0172,SKU-DEMO-0172,TX,60,0,4,3,300
SHIP-DEMO-0173,SKU-DEMO-0173,TX,60,0,4,3,300
SHIP-DEMO-0174,SKU-DEMO-0174,TX,60,0,4,3,300
SHIP-DEMO-0175,SKU-DEMO-0175,TX,60,0,4,3,300
SHIP-DEMO-0176,SKU-DEMO-0176,TX,60,0,4,3,300
SHIP-DEMO-0177,SKU-DEMO-0177,TX,60,0,4,3,300
SHIP-DEMO-0178,SKU-DEMO-0178,TX,60,0,4,3,300
SHIP-DEMO-0179,SKU-DEMO-0179,TX,60,0,4,3,300
SHIP-DEMO-0180,SKU-DEMO-0180,TX,60,0,4,3,300
SHIP-DEMO-0181,SKU-DEMO-0181,TX,60,0,4,3,300
SHIP-DEMO-0182,SKU-DEMO-0182,TX,60,0,4,3,300
SHIP-DEMO-0183,SKU-DEMO-0183,TX,60,0,4,3,300
SHIP-DEMO-0184,SKU-DEMO-0184,TX,60,0,4,3,300
SHIP-DEMO-0185,SKU-DEMO-0185,TX,60,0,4,3,300
SHIP-DEMO-0186,SKU-DEMO-0186,TX,60,0,4,3,300
SHIP-DEMO-0187,SKU-DEMO-0187,TX,60,0,4,3,300
SHIP-DEMO-0188,SKU-DEMO-0188,TX,60,0,4,3,300
SHIP-DEMO-0189,SKU-DEMO-0189,TX,60,0,4,3,300
SHIP-DEMO-0190,SKU-DEMO-0190,TX,60,0,4,3,300
SHIP-DEMO-0191,SKU-DEMO-0191,TX,60,0,4,3,300
SHIP-DEMO-0192,SKU-DEMO-0192,TX,60,0,4,3,300
SHIP-DEMO-0193,SKU-DEMO-0193,TX,60,0,4,3,300
SHIP-DEMO-0194,SKU-DEMO-0194,TX,60,0,4,3,300
SHIP-DEMO-0195,SKU-DEMO-0195,TX,60,0,4,3,300
SHIP-DEMO-0196,SKU-DEMO-0196,TX,60,0,4,3,300
SHIP-DEMO-0197,SKU-DEMO-0197,TX,60,0,4,3,300
SHIP-DEMO-0198,SKU-DEMO-0198,TX,60,0,4,3,300
SHIP-DEMO-0199,SKU-DEMO-0199,TX,60,0,4,3,300
SHIP-DEMO-0200,SKU-DEMO-0200,TX,60,0,4,3,300
SHIP-DEMO-0201,SKU-DEMO-0201,TX,60,0,4,3,300
SHIP-DEMO-0202,SKU-DEMO-0202,TX,60,0,4,3,300
SHIP-DEMO-0203,SKU-DEMO-0203,TX,60,0,4,3,300
SHIP-DEMO-0204,SKU-DEMO-0204,TX,60,0,4,3,300
SHIP-DEMO-0205,SKU-DEMO-0205,TX,60,0,4,3,300
SHIP-DEMO-0206,SKU-DEMO-0206,TX,60,0,4,3,300
SHIP-DEMO-0207,SKU-DEMO-0207,TX,60,0,4,3,300
SHIP-DEMO-0208,SKU-DEMO-0208,TX,60,0,4,3,300
SHIP-DEMO-0209,SKU-DEMO-0209,TX,60,0,4,3,300
SHIP-DEMO-0210,SKU-DEMO-0210,TX,60,0,4,3,300
SHIP-DEMO-0211,SKU-DEMO-0211,TX,60,0,4,3,300
SHIP-DEMO-0212,SKU-DEMO-0212,TX,60,0,4,3,300
SHIP-DEMO-0213,SKU-DEMO-0213,TX,60,0,4,3,300
SHIP-DEMO-0214,SKU-DEMO-0214,TX,60,0,4,3,300
SHIP-DEMO-0215,SKU-DEMO-0215,TX,60,0,4,3,300
SHIP-DEMO-0216,SKU-DEMO-0216,TX,60,0,4,3,300
SHIP-DEMO-0217,SKU-DEMO-0217,TX,60,0,4,3,300
SHIP-DEMO-0218,SKU-DEMO-0218,TX,60,0,4,3,300
SHIP-DEMO-0219,SKU-DEMO-0219,TX,60,0,4,3,300
SHIP-DEMO-0220,SKU-DEMO-0220,TX,60,0,4,3,300
SHIP-DEMO-0221,SKU-DEMO-0221,TX,60,0,4,3,300
SHIP-DEMO-0222,SKU-DEMO-0222,TX,60,0,4,3,300
SHIP-DEMO-0223,SKU-DEMO-0223,TX,60,0,4,3,300
SHIP-DEMO-0224,SKU-DEMO-0224,TX,60,0,4,3,300
SHIP-DEMO-0225,SKU-DEMO-0225,TX,60,0,4,3,300
SHIP-DEMO-0226,SKU-DEMO-0226,TX,60,0,4,3,300
SHIP-DEMO-0227,SKU-DEMO-0227,TX,60,0,4,3,300
SHIP-DEMO-0228,SKU-DEMO-0228,TX,60,0,4,3,300
SHIP-DEMO-0229,SKU-DEMO-0229,TX,60,0,4,3,300
SHIP-DEMO-0230,SKU-DEMO-0230,TX,60,0,4,3,300
SHIP-DEMO-0231,SKU-DEMO-0231,TX,60,0,4,3,300
SHIP-DEMO-0232,SKU-DEMO-0232,TX,60,0,4,3,300
SHIP-DEMO-0233,SKU-DEMO-0233,TX,60,0,4,3,300
SHIP-DEMO-0234,SKU-DEMO-0234,TX,60,0,4,3,300
SHIP-DEMO-0235,SKU-DEMO-0235,TX,60,0,4,3,300
SHIP-DEMO-0236,SKU-DEMO-0236,TX,60,0,4,3,300
SHIP-DEMO-0237,SKU-DEMO-0237,TX,60,0,4,3,300
SHIP-DEMO-0238,SKU-DEMO-0238,TX,60,0,4,3,300
SHIP-DEMO-0239,SKU-DEMO-0239,TX,60,0,4,3,300
SHIP-DEMO-0240,SKU-DEMO-0240,TX,60,0,4,3,300
SHIP-DEMO-0241,SKU-DEMO-0241,TX,60,0,4,3,300
SHIP-DEMO-0242,SKU-DEMO-0242,TX,60,0,4,3,300
SHIP-DEMO-0243,SKU-DEMO-0243,TX,60,0,4,3,300
SHIP-DEMO-0244,SKU-DEMO-0244,TX,60,0,4,3,300
SHIP-DEMO-0245,SKU-DEMO-0245,TX,60,0,4,3,300
SHIP-DEMO-0246,SKU-DEMO-0246,TX,60,0,4,3,300
SHIP-DEMO-0247,SKU-DEMO-0247,TX,60,0,4,3,300
SHIP-DEMO-0248,SKU-DEMO-0248,TX,60,0,4,3,300
SHIP-DEMO-0249,SKU-DEMO-0249,TX,60,0,4,3,300
SHIP-DEMO-0250,SKU-DEMO-0250,TX,60,0,4,3,300
SHIP-DEMO-0251,SKU-DEMO-0251,TX,60,0,4,3,300
SHIP-DEMO-0252,SKU-DEMO-0252,TX,60,0,4,3,300
SHIP-DEMO-0253,SKU-DEMO-0253,TX,60,0,4,3,300
SHIP-DEMO-0254,SKU-DEMO-0254,TX,60,0,4,3,300
SHIP-DEMO-0255,SKU-DEMO-0255,TX,60,0,4,3,300
SHIP-DEMO-0256,SKU-DEMO-0256,TX,60,0,4,3,300
SHIP-DEMO-0257,SKU-DEMO-0257,TX,60,0,4,3,300
SHIP-DEMO-0258,SKU-DEMO-0258,TX,60,0,4,3,300
SHIP-DEMO-0259,SKU-DEMO-0259,TX,60,0,4,3,300
SHIP-DEMO-0260,SKU-DEMO-0260,TX,60,0,4,3,300
SHIP-DEMO-0261,SKU-DEMO-0261,TX,60,0,4,3,300
SHIP-DEMO-0262,SKU-DEMO-0262,TX,60,0,4,3,300
SHIP-DEMO-0263,SKU-DEMO-0263,TX,60,0,4,3,300
SHIP-DEMO-0264,SKU-DEMO-0264,TX,60,0,4,3,300
SHIP-DEMO-0265,SKU-DEMO-0265,TX,60,0,4,3,300
SHIP-DEMO-0266,SKU-DEMO-0266,TX,60,0,4,3,300
SHIP-DEMO-0267,SKU-DEMO-0267,TX,60,0,4,3,300
SHIP-DEMO-0268,SKU-DEMO-0268,TX,60,0,4,3,300
SHIP-DEMO-0269,SKU-DEMO-0269,TX,60,0,4,3,300
SHIP-DEMO-0270,SKU-DEMO-0270,TX,60,0,4,3,300
SHIP-DEMO-0271,SKU-DEMO-0271,TX,60,0,4,3,300
SHIP-DEMO-0272,SKU-DEMO-0272,TX,60,0,4,3,300
SHIP-DEMO-0273,SKU-DEMO-0273,TX,60,0,4,3,300
SHIP-DEMO-0274,SKU-DEMO-0274,TX,60,0,4,3,300
SHIP-DEMO-0275,SKU-DEMO-0275,TX,60,0,4,3,300
SHIP-DEMO-0276,SKU-DEMO-0276,TX,60,0,4,3,300
SHIP-DEMO-0277,SKU-DEMO-0277,TX,60,0,4,3,300
SHIP-DEMO-0278,SKU-DEMO-0278,TX,60,0,4,3,300
SHIP-DEMO-0279,SKU-DEMO-0279,TX,60,0,4,3,300
SHIP-DEMO-0280,SKU-DEMO-0280,TX,60,0,4,3,300
SHIP-DEMO-0281,SKU-DEMO-0281,TX,60,0,4,3,300
SHIP-DEMO-0282,SKU-DEMO-0282,TX,60,0,4,3,300
SHIP-DEMO-0283,SKU-DEMO-0283,TX,60,0,4,3,300
SHIP-DEMO-0284,SKU-DEMO-0284,TX,60,0,4,3,300
SHIP-DEMO-0285,SKU-DEMO-0285,TX,60,0,4,3,300
SHIP-DEMO-0286,SKU-DEMO-0286,TX,60,0,4,3,300
SHIP-DEMO-0287,SKU-DEMO-0287,TX,60,0,4,3,300
SHIP-DEMO-0288,SKU-DEMO-0288,TX,60,0,4,3,300
SHIP-DEMO-0289,SKU-DEMO-0289,TX,60,0,4,3,300
SHIP-DEMO-0290,SKU-DEMO-0290,TX,60,0,4,3,300
SHIP-DEMO-0291,SKU-DEMO-0291,TX,60,0,4,3,300
SHIP-DEMO-0292,SKU-DEMO-0292,TX,60,0,4,3,300
SHIP-DEMO-0293,SKU-DEMO-0293,TX,60,0,4,3,300
SHIP-DEMO-0294,SKU-DEMO-0294,TX,60,0,4,3,300
SHIP-DEMO-0295,SKU-DEMO-0295,TX,60,0,4,3,300
SHIP-DEMO-0296,SKU-DEMO-0296,TX,60,0,4,3,300
SHIP-DEMO-0297,SKU-DEMO-0297,TX,60,0,4,3,300
SHIP-DEMO-0298,SKU-DEMO-0298,TX,60,0,4,3,300
SHIP-DEMO-0299,SKU-DEMO-0299,TX,60,0,4,3,300
SHIP-DEMO-0300,SKU-DEMO-0300,TX,60,0,4,3,300
SHIP-DEMO-0301,SKU-DEMO-0301,TX,60,0,4,3,300
SHIP-DEMO-0302,SKU-DEMO-0302,TX,60,0,4,3,300
SHIP-DEMO-0303,SKU-DEMO-0303,TX,60,0,4,3,300
SHIP-DEMO-0304,SKU-DEMO-0304,TX,60,0,4,3,300
SHIP-DEMO-0305,SKU-DEMO-0305,TX,60,0,4,3,300
SHIP-DEMO-0306,SKU-DEMO-0306,TX,60,0,4,3,300
SHIP-DEMO-0307,SKU-DEMO-0307,TX,60,0,4,3,300
SHIP-DEMO-0308,SKU-DEMO-0308,TX,60,0,4,3,300
SHIP-DEMO-0309,SKU-DEMO-0309,TX,60,0,4,3,300
SHIP-DEMO-0310,SKU-DEMO-0310,TX,60,0,4,3,300
SHIP-DEMO-0311,SKU-DEMO-0311,TX,60,0,4,3,300
SHIP-DEMO-0312,SKU-DEMO-0312,TX,60,0,4,3,300
SHIP-DEMO-0313,SKU-DEMO-0313,TX,60,0,4,3,300
SHIP-DEMO-0314,SKU-DEMO-0314,TX,60,0,4,3,300
SHIP-DEMO-0315,SKU-DEMO-0315,TX,60,0,4,3,300
SHIP-DEMO-0316,SKU-DEMO-0316,TX,60,0,4,3,300
SHIP-DEMO-0317,SKU-DEMO-0317,TX,60,0,4,3,300
SHIP-DEMO-0318,SKU-DEMO-0318,TX,60,0,4,3,300
SHIP-DEMO-0319,SKU-DEMO-0319,TX,60,0,4,3,300
SHIP-DEMO-0320,SKU-DEMO-0320,TX,60,0,4,3,300
SHIP-DEMO-0321,SKU-DEMO-0321,TX,60,0,4,3,300
SHIP-DEMO-0322,SKU-DEMO-0322,TX,60,0,4,3,300
SHIP-DEMO-0323,SKU-DEMO-0323,TX,60,0,4,3,300
SHIP-DEMO-0324,SKU-DEMO-0324,TX,60,0,4,3,300
SHIP-DEMO-0325,SKU-DEMO-0325,TX,60,0,4,3,300
SHIP-DEMO-0326,SKU-DEMO-0326,TX,60,0,4,3,300
SHIP-DEMO-0327,SKU-DEMO-0327,TX,60,0,4,3,300
SHIP-DEMO-0328,SKU-DEMO-0328,TX,60,0,4,3,300
SHIP-DEMO-0329,SKU-DEMO-0329,TX,60,0,4,3,300
SHIP-DEMO-0330,SKU-DEMO-0330,TX,60,0,4,3,300
SHIP-DEMO-0331,SKU-DEMO-0331,TX,60,0,4,3,300
SHIP-DEMO-0332,SKU-DEMO-0332,TX,60,0,4,3,300
SHIP-DEMO-0333,SKU-DEMO-0333,TX,60,0,4,3,300
SHIP-DEMO-0334,SKU-DEMO-0334,TX,60,0,4,3,300
SHIP-DEMO-0335,SKU-DEMO-0335,TX,60,0,4,3,300
SHIP-DEMO-0336,SKU-DEMO-0336,TX,60,0,4,3,300
SHIP-DEMO-0337,SKU-DEMO-0337,TX,60,0,4,3,300
SHIP-DEMO-0338,SKU-DEMO-0338,TX,60,0,4,3,300
SHIP-DEMO-0339,SKU-DEMO-0339,TX,60,0,4,3,300
SHIP-DEMO-0340,SKU-DEMO-0340,TX,60,0,4,3,300
SHIP-DEMO-0341,SKU-DEMO-0341,TX,60,0,4,3,300
SHIP-DEMO-0342,SKU-DEMO-0342,TX,60,0,4,3,300
SHIP-DEMO-0343,SKU-DEMO-0343,TX,60,0,4,3,300
SHIP-DEMO-0344,SKU-DEMO-0344,TX,60,0,4,3,300
SHIP-DEMO-0345,SKU-DEMO-0345,TX,60,0,4,3,300
SHIP-DEMO-0346,SKU-DEMO-0346,TX,60,0,4,3,300
SHIP-DEMO-0347,SKU-DEMO-0347,TX,60,0,4,3,300
SHIP-DEMO-0348,SKU-DEMO-0348,TX,60,0,4,3,300
SHIP-DEMO-0349,SKU-DEMO-0349,TX,60,0,4,3,300
SHIP-DEMO-0350,SKU-DEMO-0350,TX,60,0,4,3,300
SHIP-DEMO-0351,SKU-DEMO-0351,TX,60,0,4,3,300
SHIP-DEMO-0352,SKU-DEMO-0352,TX,60,0,4,3,300
SHIP-DEMO-0353,SKU-DEMO-0353,TX,60,0,4,3,300
SHIP-DEMO-0354,SKU-DEMO-0354,TX,60,0,4,3,300
SHIP-DEMO-0355,SKU-DEMO-0355,TX,60,0,4,3,300
SHIP-DEMO-0356,SKU-DEMO-0356,TX,60,0,4,3,300
SHIP-DEMO-0357,SKU-DEMO-0357,TX,60,0,4,3,300
SHIP-DEMO-0358,SKU-DEMO-0358,TX,60,0,4,3,300
SHIP-DEMO-0359,SKU-DEMO-0359,TX,60,0,4,3,300
SHIP-DEMO-0360,SKU-DEMO-0360,TX,60,0,4,3,300
SHIP-DEMO-0361,SKU-DEMO-0361,TX,60,0,4,3,300
SHIP-DEMO-0362,SKU-DEMO-0362,TX,60,0,4,3,300
SHIP-DEMO-0363,SKU-DEMO-0363,TX,60,0,4,3,300
SHIP-DEMO-0364,SKU-DEMO-0364,TX,60,0,4,3,300
SHIP-DEMO-0365,SKU-DEMO-0365,TX,60,0,4,3,300
SHIP-DEMO-0366,SKU-DEMO-0366,TX,60,0,4,3,300
